topic_id,bias_id,topic,title,source,bias,desc.
5,5,inflation- Right,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a..."
5,5,inflation- Right,IRS Adjusts Tax Brackets As Inflation Hits 30-Year High,The Daily Wire, Right,The Internal Revenue Service revealed that it would adjust federal income tax brackets and deductions in light of rising price levels in the United States....
5,5,inflation- Right,Biden’s Inflation Problem,National Review, Right,There’s no way to spin it: Wednesday’s inflation report is bad news for the country economically and for the president politically. The year-...
6,4,white-house- Lean Right,"Kamala Harris sidelined amid growing tensions with Biden, insiders say",New York Post (News), Lean Right,Vice President Kamala Harris feels increasingly isolated inside the White House as her approval ratings plummet — with...
6,5,white-house- Right,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a..."
6,5,white-house- Right,Psaki claims Biden doesn’t spend much time thinking about ‘Let’s Go Brandon’ rallying cry,Fox News (Online News), Right,"White House press secretary Jen Psaki claimed President Biden doesn’t ""spend much time focused"" on the anti-Biden rallying cry ""Let’s Go..."
6,5,white-house- Right,Biden calls Satchel Paige 'the great negro' in latest gaffe,Fox News (Online News), Right,"President Biden referred to the late baseball player Satchel Paige as ""the great negro"" before correcting himself during his Veterans Day address at..."
6,4,white-house- Lean Right,WH: Biden now ‘perfectly comfortable’ with migrant payouts — after calling $450K report ‘garbage’,New York Post (News), Lean Right,President Biden is “perfectly comfortable” with cash payouts to migrant families whose members were detained separately after illegally crossing the US-Mexico...
7,5,facts-and-fact-checking- Right,Joe Biden ‘Got a Handle on COVID’,Washington Free Beacon, Right,"CLAIM:

""Biden got a handle on COVID.""

— David Corn, D.C. bureau chief of Mother Jones

The lib reporter made the assertion on Twitter in..."
7,5,facts-and-fact-checking- Right,Democrat Cindy Axne Falsely Claims Biden’s $1.75T Agenda Will Cost Iowans ‘Literally Nothing’,Breitbart Fact Check, Right,"CLAIM: Democrat Rep. Cindy Axne (D-IA) claimed last week that President Joe Biden’s Build Back Better agenda will cost Iowans “literally nothing.”

VERDICT:..."
7,5,facts-and-fact-checking- Right,For Whom Do the Covid “Fact Checkers” Really Work?,Brownstone Institute, Right,"There are two types of COVID19 survivors— those who have documented recovery from sars-cov-2 (either PCR, antigen or serology + tests) or those who have self-..."
7,4,facts-and-fact-checking- Lean Right,Beware People Trying to Dismiss Jack Dorsey's Inflation Analysis as Disinformation,Reason, Lean Right,"I hope you squirreled away that cool 16 cents you saved on your Fourth of July barbeque this year. Across the board, prices seem to be going up..."
7,4,facts-and-fact-checking- Lean Right,Journalist Butchery of School Board Protests Upending Politics in Virginia and Elsewhere,Reason, Lean Right,The media pile-on atop Sen. Ted Cruz (R–Texas) for his comments Wednesday characterizing mock Nazi salutes at school board meetings as First...
