,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
16,Bridging Divides- Right,2,5,"Joe Biden breaks 'ambitious' campaign promise to address student loans, proposal missing from budget",TheBlaze.com, Right,"President Joe Biden is breaking one of his central campaign promises, surely upsetting progressives who wanted Biden to unilaterally cancel the massive bill of...",24,president joe biden break central campaign promise surely upsetting progressive want biden unilaterally cancel massive bill ...,0
17,Bridging Divides - moderate,2,3,Fact Checking McAuliffe’s Claim That Youngkin Wants to Ban Books by Black Authors,The Dispatch Fact Check,moderate,The Democratic nominee in the Virginia gubernatorial race Terry McAuliffe has accused his Republican opponent Glenn Youngkin of “want[ing] to ban books by...,23,democratic nominee virginia gubernatorial race terry mcauliffe accuse republican opponent glenn youngkin want[e ban book ...,1
18,Bridging Divides- Lean Left,2,1,You Don’t Have to Be Woke to Dislike Anti-Woke Democrats,Ed Kilgore, Lean Left,"If you have been anywhere within range of conservative talking points on either side of the Atlantic during the past few months, you are surely aware that “...",28,range conservative talking point atlantic past month surely aware ...,1
19,Bridging Divides- Right,2,5,"‘People Are Going To Be Very, Very Happy When I Make A Certain Announcement!’ Donald Trump Hints At 2024 Run",The Daily Wire, Right,One question at the forefront of the minds of supporters and critics alike of former President Donald Trump is whether he will return to the campaign trail and...,28,question forefront mind supporter critic alike president donald trump return campaign trail ...,1
20,Bridging Divides - moderate,2,3,Midterm-Election Ad Spending Poised to Soar as Streaming TV Attracts Campaigns,Wall Street Journal (News),moderate,"A top advertising-industry observer expects elections this year and next will see political ad expenditures of roughly $9 billion, more than doubling the...",23,advertising industry observer expect election year political ad expenditure roughly 9 billion double ...,1
21,Bridging Divides- Left,2,2,"100 Days of Big, Bold, Partisan Change",Ezra Klein, Left,I intended to duly fulfill my duty as a political columnist and write about the first 100 days of Joe Biden’s presidency. My idea was to focus on the 50 Senate...,31,intend duly fulfill duty political columnist write 100 day joe biden presidency idea focus 50 senate ...,1
22,Bridging Divides- Lean Right,2,4,When Wokeness Becomes Weakness,Ross Douthat, Lean Right,"Recently, James Carville, the unfrozen Clintonite of Democratic politics, stirred a predictable controversy by complaining about “wokeness” in an interview...",20,recently james carville unfrozen clintonite democratic politic stir predictable controversy complain wokeness interview ...,1
23,Bridging Divides - moderate,2,3,Are Democrats Too Woke for Voters?,Jonathan Bernstein,moderate,"Possibly. But the reality is that slogans and rhetoric make very little difference in elections.

Tuesday’s big flap was an interview at Vox with James...",25,possibly reality slogan rhetoric little difference election tuesday big flap interview vox james ...,1
24,Bridging Divides- Left,2,2,How a Stephen Miller Fox News Appearance Launched the “Border Crisis”,Slate, Left,"Is there a crisis at the U.S.–Mexico border? It depends on your definition of crisis.

The monthly number of individuals being apprehended there for...",24,crisis u.s.–mexico border depend definition crisis monthly number individual apprehend ...,2
25,Bridging Divides- Lean Right,2,4,"Rubio: Biden's Rhetoric, 1st-Day Policies Created Border Crisis",Newsmax (News), Lean Right,"President Joe Biden's rhetoric both before and after he took office, as well as his first-day policies after he was sworn in, are what is driving the current...",28,president joe biden rhetoric office day policy swear drive current ...,0
26,Bridging Divides - moderate,2,3,Perspectives: James Carville and the Language of 'Wokeness',AllSides Headline Roundup,moderate,"In an interview with Vox's Sean Illing published on April 27, Democratic strategist James Carville said the language of ""wokeness"" was a bad political strategy...",25,interview vox sean illing publish april 27 democratic strategist james carville language wokeness bad political strategy ...,1
27,Bridging Divides- Lean Left,2,1,The Secret History of the Shadow Campaign That Saved the 2020 Election,Time Magazine, Lean Left,"A weird thing happened right after the Nov. 3 election: nothing.

The nation was braced for chaos. Liberal groups had vowed to take to the streets, planning...",27,weird thing happen right nov. 3 election nation brace chaos liberal group vow street planning ...,1
28,Bridging Divides- Right,2,5,"Trump Tears Into Wall Street Journal, Georgia Republicans And Mitch McConnell In Lengthy Statement",The Daily Caller, Right,Former President Donald Trump blasted a Monday column from the Wall Street Journal Editorial Board in a lengthy statement distributed by his Save America PAC...,25,president donald trump blast monday column wall street journal editorial board lengthy statement distribute save america pac ...,1
29,Bridging Divides - moderate,2,3,Biden moved left. But is he dividing or uniting the country?,AllSides Staff,moderate,"In our world where agreement, especially among the politically fractured media, is rare, there seems to be a general consensus on one thing: President Joe...",25,world agreement especially politically fractured medium rare general consensus thing president joe ...,0
30,Campaign Finance- Lean Left,3,1,Biden-successor chatter grows and Harris isn’t scaring off anyone,Politico, Lean Left,President Joe Biden says he intends to run for reelection in 2024. But not all Democrats believe him. Nor are they convinced his No. 2 would be the clear heir...,30,president joe biden intend run reelection 2024 democrats believe convince 2 clear heir ...,0
31,Campaign Finance- Lean Right,3,4,"Kamala Harris sidelined amid growing tensions with Biden, insiders say",New York Post (News), Lean Right,Vice President Kamala Harris feels increasingly isolated inside the White House as her approval ratings plummet — with...,18,vice president kamala harris feel increasingly isolate inside white house approval rating plummet — ...,0
32,Campaign Finance - moderate,3,3,White House Press Secretary Jen Psaki defended Kamala Harris after a report about 'exasperation and dysfunction' in the vice president's office,Insider,moderate,"White House Press Secretary Jen Psaki tweeted in defense of Vice President Kamala Harris hours after a critical report alleged ""exasperation and dysfunction""...",23,white house press secretary jen psaki tweet defense vice president kamala harris hour critical report allege exasperation dysfunction ...,0
33,Campaign Finance- Lean Left,3,1,Harris' office does damage control over student’s Israel 'ethnic genocide' comment,Politico, Lean Left,"Vice President Kamala Harris’ office is working behind the scenes to mend relationships with pro-Israel Democrats after not pushing back on a student who, in...",25,vice president kamala harris office work scene mend relationship pro israel democrats push student ...,1
34,Campaign Finance- Right,3,5,"Nearly half of voters say Biden worse president than expected, most don't want to see him run again: poll",Fox News (Online News), Right,"With exactly one year until the midterm elections, President Biden, Vice President Harris and Democrats in Congress face bleak ratings...",20,exactly year midterm election president biden vice president harris democrats congress face bleak rating ...,0
35,Campaign Finance - moderate,3,3,West Wing Reportedly Frustrated with VP Harris,AllSides Headline Roundup,moderate,Reports across the spectrum have detailed frustration within the White House over purported dysfunction with Vice President Kamala Harris and her team....,22,report spectrum detail frustration white house purport dysfunction vice president kamala harris team ....,0
36,Campaign Finance- Left,3,2,Harris Trip To Vietnam Delayed After Possible ‘Health Incident’ In Hanoi,HuffPost, Left,Vice President Kamala Harris was delayed from departing on a trip to Vietnam after the State Department issued a warning of a “possible anomalous health...,25,vice president kamala harris delay depart trip vietnam state department issue warning possible anomalous health ...,1
37,Campaign Finance- Right,3,5,White House Announces Plan To Open Up Union Options To Federal Employees,One America News Network (OAN), Right,"As strikes sweep across the U.S., Kamala Harris is encouraging more federal employees to join unions. She elaborated on the policies in a Labor Task Force...",26,strike sweep u.s. kamala harris encourage federal employee join union elaborate policy labor task force ...,1
38,Campaign Finance - moderate,3,3,"Joe Biden's Approval Rating Remains Dismal, Kamala Harris' Is Even Worse",Newsweek,moderate,President Joe Biden and Vice President Kamala Harris are continuing to suffer heavily in the polls following a week in which their party...,23,president joe biden vice president kamala harris continue suffer heavily poll follow week party ...,0
39,Campaign Finance- Lean Left,3,1,Harris uses convening power to expand her political network,Politico, Lean Left,"The vice president is building relationships with a wide array of Democratic allies, which she could leverage in the administration — and a future presidential...",25,vice president build relationship wide array democratic ally leverage administration — future presidential ...,1
40,Campaign Finance- Right,3,5,Harris Holds Double Standard On Abortions And Vaccinations,One America News Network (OAN), Right,"Kamala Harris delivered remarks on personal rights on abortions during a women’s reproductive rights roundtable, but failed to link the point to the issue of...",25,kamala harris deliver remark personal right abortion woman reproductive right roundtable fail link point issue ...,1
41,Campaign Finance - moderate,3,3,"We’re Tracking Trump’s And Harris’s Popularity Ahead Of The 2024 Presidential Election. (Yes, It’s Early.)",FiveThirtyEight,moderate,Former President Donald Trump ended his presidency more unpopular than any of the last 12 presidents at the end of their first terms and he is still...,27,president donald trump end presidency unpopular 12 president end term ...,0
42,Campaign Finance- Lean Left,3,1,What Kamala Harris’ Law School Years Reveal About Her Politics,Politico, Lean Left,"The signs in downtown San Francisco that day, outside of the University of California Hastings College of the Law, might as well have been plucked from today’s...",27,sign downtown san francisco day outside university california hastings college law pluck today ...,1
43,Campaign Finance- Lean Right,3,4,"George W. Bush, Kamala Harris point to unity after 9/11 in memorial speeches",New York Post (News), Lean Right,"The chimes of the Bells of Remembrance at the memorial service for the victims and heroes of Flight 93 in Shanksville, PA, was followed Saturday by a...",27,chime bells remembrance memorial service victim hero flight 93 shanksville pa follow saturday ...,1
44,Campaign Finance - moderate,3,3,Did Kamala Harris’ YouTube Show Feature Child Actors?,The Dispatch Fact Check,moderate,Following the premiere of the YouTube Originals series Get Curious with Vice President Harris—a show in which Vice President Kamala Harris...,21,follow premiere youtube originals series curious vice president harris — vice president kamala harris ...,0
45,Coronavirus- Lean Left,4,1,Biden to host leaders of Canada and Mexico at White House next week,CBS News (Online), Lean Left,President Biden will host Canadian Prime Minister Justin Trudeau and Mexican President Andrés Manuel López Obrador at the White House next week for the first...,25,president biden host canadian prime minister justin trudeau mexican president andrés manuel lópez obrador white house week ...,0
46,Coronavirus- Lean Right,4,4,Lines of cars wait to enter US as pandemic travel ban is lifted,New York Post (News), Lean Right,The US reopened its borders Monday after 20 months of travel restrictions — immediately creating wild miles-long lines of cars waiting to cross over from...,25,reopen border monday 20 month travel restriction — immediately create wild mile long line car wait cross ...,1
47,Coronavirus - moderate,4,3,What are President Biden's challenges at the border?,BBC News,moderate,"US President Joe Biden entered the White House promising to tackle immigration challenges that have remained unsolved for decades.

Yet since he took office...",24,president joe biden enter white house promise tackle immigration challenge remain unsolved decade office ...,0
48,Coronavirus- Lean Left,4,1,U.S. lifts travel ban on 33 countries as Europe cases surge,Washington Post, Lean Left,As the United States reopens its international borders Monday to travelers from 33 countries who have proof of vaccination and a recent negative ...,24,united states reopen international border monday traveler 33 country proof vaccination recent negative ...,1
49,Coronavirus- Right,4,5,Border Arrests Hit All-Time High,National Review, Right,U.S. authorities detained more than 1.7 million illegal immigrants at the southern border during the 2021 fiscal year that ended in September as arrests by...,25,u.s. authority detain 1.7 million illegal immigrant southern border 2021 fiscal year end september arrest ...,2
50,Coronavirus - moderate,4,3,What’s happening at the U.S.-Mexico border in 7 charts,Pew Research Center,moderate,"The U.S. Border Patrol reported more than 1.6 million encounters with migrants along the U.S.-Mexico border in the 2021 fiscal year, more than quadruple the...",25,u.s. border patrol report 1.6 million encounter migrant u.s.-mexico border 2021 fiscal year quadruple ...,2
51,Coronavirus- Lean Left,4,1,Border apprehensions hit yearly high as another migrant caravan gathers in Mexico,NBC News (Online), Lean Left,"Apprehensions of undocumented migrants crossing the southern U.S. border passed 1.7 million in fiscal year 2021 to hit an all-time high, according to Customs...",24,apprehension undocumented migrant cross southern u.s. border pass 1.7 million fiscal year 2021 hit time high accord customs ...,2
52,Coronavirus- Right,4,5,Biden Admin Will Reinstate Tump’s Remain In Mexico Policy In November,The Daily Caller, Right,"The Biden administration is planning to reinstate former President Donald Trump’s “Remain in Mexico” policy in November, CBS News reported on Friday.

A...",23,biden administration plan reinstate president donald trump remain mexico policy november cbs news report friday ...,0
53,Coronavirus - moderate,4,3,"US-Canada border: After 19 months, families to reunite",BBC News,moderate,"On 8 November, the US-Canadian border will open both ways to non-essential travel for the first time in 19 months. The closure has kept thousands of bi-...",27,8 november canadian border open way non essential travel time 19 month closure thousand bi- ...,2
54,Coronavirus- Left,4,2,Biden Is About to Restart One of the Cruelest Parts of Trump’s Anti-Immigrant Regime,Mother Jones, Left,"Under a court-mandated order, the Biden administration is gearing up to bring back a Trump-era border policy that pushed thousands of non-Mexican asylum...",23,court mandate order biden administration gear bring trump era border policy push thousand non mexican asylum ...,1
55,Coronavirus- Right,4,5,US to reopen land borders next month for fully vaccinated,Fox News (Online News), Right,"After a 19-month freeze due to the COVID-19 pandemic, the U.S. is set to announce that it will reopen land borders with Canada and ...",25,19 month freeze covid-19 pandemic u.s. set announce reopen land border canada ...,1
56,Coronavirus - moderate,4,3,US Lifts Travel Ban For Vaccinated Foreigners,AllSides Headline Roundup,moderate,"The US lifted its international travel ban Monday for the first time since March 2020, allowing foreigners from 33 nations as well as passengers from Canada...",26,lift international travel ban monday time march 2020 allow foreigner 33 nation passenger canada ...,1
57,Coronavirus- Left,4,2,US will re-open Canadian and Mexican borders to fully vaccinated visitors,CNN (Online News), Left,"The United States plans to ease restrictions on travel for fully vaccinated visitors from Canada and Mexico starting in early November, relaxing bans that have...",25,united states plan ease restriction travel fully vaccinated visitor canada mexico start early november relax ban ...,1
58,Coronavirus- Right,4,5,REPORT: Biden Might Keep ‘More Humane’ Version Of Trump Immigration Policy,The Daily Caller, Right,"President Joe Biden is reportedly considering revamping former President Donald Trump’s “Remain in Mexico” policy into “a more humane version,” multiple people...",22,president joe biden reportedly consider revamp president donald trump remain mexico policy humane version multiple people ...,0
59,Coronavirus - moderate,4,3,The U.S.-Mexico Border - Where Reality Clashes With American Idealism,Forbes,moderate,The continuing migrant saga at the U.S.—Mexico border seems to have boxed the Biden Administration into a corner where it is not effectively and humanely...,25,continue migrant saga u.s.—mexico border box biden administration corner effectively humanely ...,2
60,Criminal Justice- Left,5,2,Violence erupts on Poland-Belarus border as Polish guards fire water cannon on migrants throwing rocks,CNN (Online News), Left,"Violence erupted at the Poland-Belarus border on Tuesday, as migrants desperate to cross into the European Union threw stones at Polish...",21,violence erupt poland belarus border tuesday migrant desperate cross european union throw stone polish ...,2
61,Criminal Justice- Lean Right,5,4,"Italy Mandates All Workers to Show COVID-19 ‘Green Pass,’ Prompting Protests",The Epoch Times, Lean Right,"The Italian government imposed one of the world’s strictest COVID-19 measures on Friday, requiring all workers in Italy to show a COVID-19...",22,italian government impose world strictest covid-19 measure friday require worker italy covid-19 ...,1
62,Criminal Justice - moderate,5,3,Poland blocks hundreds of migrants at Belarus border,BBC News,moderate,"Poland says it has repelled attempts by migrants to enter the country at its eastern border with Belarus, warning that thousands more were on the way.

Video...",27,poland repel attempt migrant enter country eastern border belarus warn thousand way video ...,2
63,Criminal Justice- Lean Left,5,1,Italy Puts in Force Tough New Law Requiring Workers to Test or Vaccinate,New York Times (News), Lean Left,Italy on Friday set a new bar for major Western democracies seeking to move beyond the pandemic by enacting a sweeping law that requires the nation’s entire...,27,italy friday set new bar major western democracy seek pandemic enact sweeping law require nation entire ...,1
64,Criminal Justice- Right,5,5,UK Government Approves Coronavirus Vaccines for 12 to 15 Year Olds to ‘Reduce Disruption’ in Schools,Breitbart News, Right,The UK’s chief medical officer announced on Monday that children from the ages of 12 to 15 years old will be offered coronavirus vaccines in England....,26,uk chief medical officer announce monday child age 12 15 year old offer coronavirus vaccine england ....,1
65,Criminal Justice - moderate,5,3,Europe plans border tax on carbon. Will others join the club?,Christian Science Monitor,moderate,"The COP26 global climate summit is, by design, about bargaining and voluntary steps, not mandates and penalties. But Europe is poised to add a tough-love...",25,cop26 global climate summit design bargaining voluntary step mandate penalty europe poise add tough love ...,1
66,Criminal Justice- Lean Left,5,1,France Is Outraged by U.S. Nuclear Submarine Deal With Australia,New York Times (News), Lean Left,"France reacted with fury on Thursday to President Biden’s announcement of a deal to help Australia deploy nuclear-powered submarines, calling it a “unilateral...",23,france react fury thursday president biden announcement deal help australia deploy nuclear power submarine unilateral ...,1
67,Criminal Justice- Right,5,5,Thousands of anti-vaccine pass protestors take to streets of Paris - hours after neighbouring Italy starts demanding digital certificate to enter gyms and restaurants,Daily Mail, Right,Protesters took to the streets across France on Saturday for the fourth weekend in a row to rally against a new health pass needed to enter a cafe or...,29,protester street france saturday fourth weekend row rally new health pass need enter cafe ...,1
68,Criminal Justice - moderate,5,3,The Wind Turbine Failures Behind Europe's Energy Crisis Are a Warning for America,Newsweek,moderate,"The ongoing energy crisis in Europe has shown how nations will experience ""growing pains"" from a switch to renewable sources of energy including wind...",24,ongoing energy crisis europe nation experience grow pain switch renewable source energy include wind ...,1
69,Criminal Justice- Lean Left,5,1,Macron tells critics: vaccine passport will protect all our freedoms,The Guardian, Lean Left,"When the Great Plague struck Marseille in 1720, killing more than half of the city’s population, travellers were ordered to carry a “bill of health” and ships...",27,great plague strike marseille 1720 kill half city population traveller order carry bill health ship ...,1
70,Criminal Justice- Right,5,5,Death toll from Europe floods tops 150 as water recedes,Breitbart News, Right,The death toll from disastrous flooding in Western Europe rose above 150 on Saturday as rescue workers toiled to clear up the devastation revealed by receding...,26,death toll disastrous flooding western europe rise 150 saturday rescue worker toil clear devastation reveal recede ...,1
71,Criminal Justice - moderate,5,3,Hundreds of port workers in Italy are striking against a new vaccine mandate,Quartz,moderate,"Italy’s new covid-19 rules went into effect on Oct. 15, prompting labor strikes and protests across the country. The mandate, one of the strictest in the world...",27,italy new covid-19 rule effect oct. 15 prompt labor strike protest country mandate strict world ...,1
72,Criminal Justice- Lean Left,5,1,"As Floodwaters Ebb in Europe, Death Toll Passes 165",New York Times (News), Lean Left,"As waters receded on Saturday, Germans in the country’s west surveyed scenes of destruction, grieved over a rising death toll and confronted questions about...",24,water recede saturday germans country west survey scene destruction grieve rise death toll confronted question ...,1
73,Criminal Justice- Right,5,5,He Was Murdered Over a Lie: What the Killing of Samuel Paty Means for Free Expression,The Daily Signal, Right,"Samuel Paty was decapitated on Oct. 16, 2020, outside the middle school in a north Paris suburb where he had taught history and civics for five years. The...",28,samuel paty decapitate oct. 16 2020 outside middle school north paris suburb teach history civic year ...,1
74,Criminal Justice - moderate,5,3,Italy's Strict New Vaccine Mandate Prompts Protests,AllSides Headline Roundup,moderate,"Italy's COVID-19 vaccine mandate, believed to be among the strictest government COVID-19 mandates in the world, has been met by protests. The newest rule ...",25,italy covid-19 vaccine mandate believe strict government covid-19 mandate world meet protest new rule ...,1
75,Education- Lean Left,6,1,"As supply lines strain, some corporations rewrite production playbook",Washington Post, Lean Left,"The pandemic caught Stanley Black & Decker midway through an overhaul of its 18-country supply chain.

Executives at the toolmaker’s New Britain, Conn.,...",23,pandemic catch stanley black decker midway overhaul 18 country supply chain executive toolmaker new britain conn. ...,1
76,Education- Lean Right,6,4,"Vaccine Mandate Threatens Major Trucking Disruption, Industry Insiders Say",The Epoch Times, Lean Right,American truckers don’t like taking orders. But the Biden administration has increased pressure on some of them to take the vaccine—willing or unwilling....,23,american trucker like order biden administration increase pressure vaccine — willing unwilling ....,1
77,Education - moderate,6,3,Warehouses are overwhelmed by America's shopping spree,NPR (Online News),moderate,"Doug Kiersey has been building, buying and leasing warehouses for almost 40 years. He's never seen a time like this.

""It's completely unprecedented,"" says...",24,doug kiersey build buying leasing warehouse 40 year time like completely unprecedented ...,1
78,Education- Lean Left,6,1,China has a big inflation problem and it's pushing up prices worldwide,CNN Business, Lean Left,"The cost of goods leaving China's factories surged by another record rate last month, and there are increasing signs that consumers are starting to feel the...",26,cost good leave china factory surge record rate month increase sign consumer start feel ...,1
79,Education- Lean Right,6,4,White House Orders Temporary Lift in Cargo Weight Capacity for Trucks,The Epoch Times, Lean Right,"President Joe Biden plans to sign an executive order to temporarily lift weight limits so trucks can carry more cargo, White House Press Secretary...",24,president joe biden plan sign executive order temporarily lift weight limit truck carry cargo white house press secretary ...,0
80,Education - moderate,6,3,What the Ever Given Taught the World,Foreign Policy,moderate,"On March 29, after six days being stuck in the Suez Canal and blocking all other ships from sailing through the vital passage, the Ever Given was...",27,march 29 day stick suez canal block ship sail vital passage ...,1
81,Education- Lean Left,6,1,Biden’s vaccine mandate has cargo giants in a pre-holiday panic,Politico, Lean Left,"A trade group for air cargo giants like UPS and FedEx is sounding the alarm over an impending Dec. 8 vaccine deadline imposed by President Joe Biden,...",27,trade group air cargo giant like ups fedex sound alarm impending dec. 8 vaccine deadline impose president joe biden ...,0
82,Education- Lean Right,6,4,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave...",28,white house port los angeles ups fedex walmart commit 24/7 work hour alleviate supply chain crunch threaten leave ...,1
83,Education - moderate,6,3,Biden rolls out multibillion-dollar plan to upgrade aging U.S. ports after passage of infrastructure bill,CNBC,moderate,The Biden administration outlined several initiatives on Tuesday aimed at addressing immediate supply-chain challenges and other disruptions affecting global...,19,biden administration outline initiative tuesday aim address immediate supply chain challenge disruption affect global ...,1
84,Education- Lean Left,6,1,Why some say the worst of the supply chain woes are near an end,CNN Business, Lean Left,Forget about The Grinch: It looks like supply chain disruptions may steal Christmas this year. But will these problems be resolved by early 2022?...,24,forget grinch look like supply chain disruption steal christmas year problem resolve early 2022 ...,1
85,Education- Lean Right,6,4,"UPS, FedEx, Walmart commit to 24/7 hours to alleviate LA port crunch",New York Post (News), Lean Right,"The White House says the Port of Los Angeles, UPS, FedEx and Walmart will commit to 24/7 work hours to alleviate a supply-chain crunch that threatens to leave...",28,white house port los angeles ups fedex walmart commit 24/7 work hour alleviate supply chain crunch threaten leave ...,1
86,Education - moderate,6,3,Tariffs to Tackle Climate Change Gain Momentum. The Idea Could Reshape Industries.,Wall Street Journal (News),moderate,"Governments in the U.S., Europe and other developed nations are embarking on a climate change experiment: using tariffs on trade to cut carbon...",23,government u.s. europe developed nation embark climate change experiment use tariff trade cut carbon ...,1
87,Education- Lean Left,6,1,Backlog of cargo ships at southern California ports reaches an all-time high,The Guardian, Lean Left,The backlog of cargo ships in southern California reached an all-time high this week as a supply chain crisis continues to overwhelm America’s...,23,backlog cargo ship southern california reach time high week supply chain crisis continue overwhelm america ...,1
88,Education- Right,6,5,"Biden to Address Supply Chain Logjam: Expanded Port Hours, Extra Shifts for Longshoremen",CNSNews.com, Right,"As supply chain disruptions make national headlines, leaving American businesses with fewer imported products to sell, President Biden today will meet with...",22,supply chain disruption national headline leave american business import product sell president biden today meet ...,0
89,Education - moderate,6,3,U.S. and EU agree to ease metal tariffs imposed by Trump administration,CNBC,moderate,"The United States and the European Union on Saturday announced an easing of a trade dispute that started during the Trump administration.

The...",23,united states european union saturday announce easing trade dispute start trump administration ...,1
90,Elections- Lean Left,7,1,Justice Department sues Texas over restrictive voting law,NBC News (Online), Lean Left,The Justice Department is suing Texas over key components of the state's Republican-led voting law that federal officials say are in...,21,justice department sue texas key component state republican lead voting law federal official ...,1
91,Elections- Right,7,5,"In ‘Deep Blue’ New York, Voters Reject Democrats’ Push for Election Changes",The Daily Signal, Right,"In one of the bluest states in the nation, voters soundly rejected proposed changes to election law that congressional Democrats are trying to impose...",24,blue state nation voter soundly reject propose change election law congressional democrats try impose ...,1
92,Elections - moderate,7,3,Rigged Voting Machines? Chinese Hacking? Local Fraud? Officials Kept Digging,Newsweek,moderate,"On Monday, November 16th, Attorney General William Barr and FBI Director Christopher Wray were worried enough about Donald Trump...",19,monday november 16th attorney general william barr fbi director christopher wray worry donald trump ...,1
93,Elections- Lean Left,7,1,Democrats Face Economic Gut-Check After GOP Taps Voters’ Angst,Bloomberg, Lean Left,"Democrats will argue for months about what led to their defeat at the ballot box on Tuesday -- whether it was their messaging, their candidates or their...",27,democrats argue month lead defeat ballot box tuesday -- messaging candidate ...,1
